trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",25,13,-22.154480554247886,"{0: 10, 1: 0, 2: 0, 3: 2, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",20,1,28.952908243140957,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",30,13,23.192140891977928,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",25,10,24.265999437211473,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299934}",25,13,24.541118519075884,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",25,0,33.25534756667438,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",20,10,6.033247224773816,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",30,0,-29.37318552963503,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
143,False,"{'a': 0.01, 'e': 0.1403316058467367}",30,19,10.472732914854014,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",20,7,-15.892549456249348,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
145,False,"{'a': 0.01, 'e': 0.1205027693673666}",30,10,-51.38683550816696,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006957}",35,10,38.87864162194317,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.10062573338693172}",20,9,18.005362609159317,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430967}",25,5,25.000553065449235,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.08070844845480062}",25,11,13.69620070221691,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",20,12,-26.932406148916694,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",25,7,28.939118995329956,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
